_il,_it,_el,_et,mcl_1,mcl_6,mcl_11,mcl_16,mcl_21,mcl_26
0.00257,0.00047438,0.003725,0.00158,1,2,4,6,6,13
0.00257,0.00058451,0.003725,0.00158,1,2,4,6,6,13
0.00257,0.0002526,0.0012,0.00158,1,5,6,2,8,15
0.00257,0.0002526,0.00625,0.00158,1,2,4,6,4,7
0.00257,0.0005404,0.0012,0.00158,1,5,5,12,17,2
0.00257,0.0005404,0.00625,0.00158,1,1,8,14,19,24
0.00257,0.0002526,0.003725,0.0008,1,2,4,6,6,13
0.00257,0.0002526,0.003725,0.00236,1,2,4,6,4,6
0.00257,0.0005404,0.003725,0.0008,1,3,9,7,12,9
0.00257,0.0005404,0.003725,0.00236,1,2,4,6,2,11
0.00257,0.000193,0.0019396,0.00158,1,5,2,10,15,21
0.00257,0.000193,0.0055104,0.00158,1,2,4,6,4,7
0.00257,0.0006,0.0019396,0.00158,1,4,10,15,20,25
0.00257,0.0006,0.0055104,0.00158,1,1,8,14,19,24
0.00257,0.000193,0.0012,0.0008,1,5,6,1,7,14
0.00257,0.000193,0.0012,0.00236,1,5,1,9,14,20
0.00257,0.000193,0.00625,0.0008,1,2,4,6,1,10
0.00257,0.000193,0.00625,0.00236,1,2,4,6,4,7
0.00257,0.0006,0.0012,0.0008,1,5,5,12,17,3
0.00257,0.0006,0.0012,0.00236,1,5,6,1,7,14
0.00257,0.0006,0.00625,0.0008,1,3,9,7,12,9
0.00257,0.0006,0.00625,0.00236,1,2,4,6,1,10
0.00257,0.000193,0.003725,0.0010285,1,2,4,6,2,11
0.00257,0.000193,0.003725,0.0021315,1,2,4,6,4,6
0.00257,0.0006,0.003725,0.0010285,1,3,9,7,12,9
0.00257,0.0006,0.003725,0.0021315,1,2,4,6,5,12
0.00257,0.0003965,0.0013922,0.00158,1,5,6,1,7,14
0.00257,0.0003965,0.0027587,0.00158,1,2,4,6,1,10
0.00257,0.0003965,0.0046913,0.00158,1,2,4,6,1,10
0.00257,0.0003965,0.0060578,0.00158,1,2,4,6,1,10
0.00257,0.0003965,0.0019396,0.0008,1,5,5,12,17,1
0.00257,0.0003965,0.0019396,0.00236,1,5,2,10,15,21
0.00257,0.0003965,0.0055104,0.0008,1,3,9,4,10,17
0.00257,0.0003965,0.0055104,0.00236,1,2,4,6,4,7
0.00257,0.0003965,0.0012,0.0010285,1,5,5,12,17,2
0.00257,0.0003965,0.0012,0.0021315,1,5,6,2,8,15
0.00257,0.0003965,0.00625,0.0010285,1,1,8,14,19,24
0.00257,0.0003965,0.00625,0.0021315,1,2,4,6,4,7
0.00257,0.0003965,0.003725,0.00085937,1,3,9,7,12,9
0.00257,0.0003965,0.003725,0.0012815,1,2,4,6,6,13
0.00257,0.0003965,0.003725,0.0018785,1,2,4,6,2,11
0.00257,0.0003965,0.003725,0.0023006,1,2,4,6,2,11
