0.00174,0.0003965,0.003725,0.00158
0.0019831,0.0003965,0.003725,0.00158
0.00257,0.0003965,0.003725,0.00158
0.0031569,0.0003965,0.003725,0.00158
0.0034,0.0003965,0.003725,0.00158
0.00174,0.000193,0.003725,0.00158
0.00174,0.0006,0.003725,0.00158
0.00257,0.000193,0.003725,0.00158
0.00257,0.0006,0.003725,0.00158
0.0034,0.000193,0.003725,0.00158
0.0034,0.0006,0.003725,0.00158
0.00174,0.0003965,0.0012,0.00158
0.00174,0.0003965,0.00625,0.00158
0.00257,0.0003965,0.0012,0.00158
0.00257,0.0003965,0.00625,0.00158
0.0034,0.0003965,0.0012,0.00158
0.0034,0.0003965,0.00625,0.00158
0.00174,0.0003965,0.003725,0.0008
0.00174,0.0003965,0.003725,0.00236
0.00257,0.0003965,0.003725,0.0008
0.00257,0.0003965,0.003725,0.00236
0.0034,0.0003965,0.003725,0.0008
0.0034,0.0003965,0.003725,0.00236
0.00257,0.0002526,0.003725,0.00158
0.00257,0.0005404,0.003725,0.00158
0.00257,0.000193,0.0012,0.00158
0.00257,0.000193,0.00625,0.00158
0.00257,0.0006,0.0012,0.00158
0.00257,0.0006,0.00625,0.00158
0.00257,0.000193,0.003725,0.0008
0.00257,0.000193,0.003725,0.00236
0.00257,0.0006,0.003725,0.0008
0.00257,0.0006,0.003725,0.00236
0.00257,0.0003965,0.0019396,0.00158
0.00257,0.0003965,0.0055104,0.00158
0.00257,0.0003965,0.0012,0.0008
0.00257,0.0003965,0.0012,0.00236
0.00257,0.0003965,0.00625,0.0008
0.00257,0.0003965,0.00625,0.00236
0.00257,0.0003965,0.003725,0.0010285
0.00257,0.0003965,0.003725,0.0021315
